time,direction,order_id,price,symbol
2025-12-09 20:05:03.569897,BUY,0,0.0,EURUSD
2025-12-09 20:05:04.579307,BUY,0,0.0,EURUSD
2025-12-09 20:05:05.589555,BUY,0,0.0,EURUSD
2025-12-09 20:05:06.600241,BUY,0,0.0,EURUSD
2025-12-09 20:05:07.610602,BUY,0,0.0,EURUSD
2025-12-09 20:05:08.619420,BUY,0,0.0,EURUSD
2025-12-09 20:05:09.627021,BUY,0,0.0,EURUSD
2025-12-09 20:05:10.632505,BUY,0,0.0,EURUSD
2025-12-09 20:05:11.644767,BUY,0,0.0,EURUSD
2025-12-09 20:05:12.650602,BUY,0,0.0,EURUSD
2025-12-09 20:05:13.664927,BUY,0,0.0,EURUSD
2025-12-09 20:05:14.677348,BUY,0,0.0,EURUSD
2025-12-09 20:05:15.695027,BUY,0,0.0,EURUSD
2025-12-09 20:05:16.732855,BUY,0,0.0,EURUSD
2025-12-09 20:05:17.747937,BUY,0,0.0,EURUSD
2025-12-09 20:05:18.763105,BUY,0,0.0,EURUSD
2025-12-09 20:05:19.777716,BUY,0,0.0,EURUSD
2025-12-09 20:05:20.793733,BUY,0,0.0,EURUSD
2025-12-09 20:05:21.810046,BUY,0,0.0,EURUSD
2025-12-09 20:05:22.824415,BUY,0,0.0,EURUSD
2025-12-09 20:05:23.836077,BUY,0,0.0,EURUSD
2025-12-09 20:05:24.847380,BUY,0,0.0,EURUSD
2025-12-09 20:05:25.858189,BUY,0,0.0,EURUSD
2025-12-09 20:05:26.868581,BUY,0,0.0,EURUSD
2025-12-09 20:05:27.879665,BUY,0,0.0,EURUSD
2025-12-09 20:05:28.894351,BUY,0,0.0,EURUSD
2025-12-10 07:22:58.830723,CALL,1.16273,1.16249,-10,2025-12-10 07:22:58.816638
2025-12-10 07:23:00.026863,CALL,1.16273,1.16249,-10,2025-12-10 07:23:00.006955
2025-12-10 07:23:01.408073,CALL,1.16273,1.16249,-10,2025-12-10 07:23:01.396683
2025-12-10 07:23:02.616591,CALL,1.16273,1.16249,-10,2025-12-10 07:23:02.584578
2025-12-10 07:23:03.805763,CALL,1.16273,1.16249,-10,2025-12-10 07:23:03.775798
2025-12-10 07:23:05.010628,CALL,1.16273,1.16249,-10,2025-12-10 07:23:04.981554
2025-12-10 07:23:06.234197,CALL,1.16273,1.16249,-10,2025-12-10 07:23:06.200390
2025-12-10 07:23:07.448088,CALL,1.16273,1.16249,-10,2025-12-10 07:23:07.427748
2025-12-10 07:23:08.748627,CALL,1.16273,1.16249,-10,2025-12-10 07:23:08.733593
2025-12-10 07:23:09.986486,CALL,1.16273,1.16249,-10,2025-12-10 07:23:09.969215
2025-12-10 07:23:11.228324,CALL,1.16273,1.16249,-10,2025-12-10 07:23:11.215122
2025-12-10 07:23:12.498314,CALL,1.16273,1.16249,-10,2025-12-10 07:23:12.479155
2025-12-10 07:23:13.759336,CALL,1.16273,1.16249,-10,2025-12-10 07:23:13.737774
2025-12-10 07:23:14.997300,CALL,1.16273,1.16249,-10,2025-12-10 07:23:14.982976
2025-12-10 07:23:16.285219,CALL,1.16273,1.16249,-10,2025-12-10 07:23:16.242560
2025-12-10 07:23:17.562215,CALL,1.16273,1.16249,-10,2025-12-10 07:23:17.539150
2025-12-10 07:23:18.807461,CALL,1.16273,1.16249,-10,2025-12-10 07:23:18.786431
